# PulseTrace recording
# session_id: 2026-05-10T13-18-01
# device: OnePlus CPH2449 (Android 36)
# started_at: 1778411881333
timestamp_ns,red,luma,coverage
4551215891335,218.783,75.993,1.0000
4551225877845,218.807,76.010,1.0000
4551244897376,218.820,76.031,1.0000
4551272329668,218.853,76.050,1.0000
4551316411231,218.826,76.051,1.0000
4551332997637,218.837,76.057,1.0000
4551353883106,218.825,76.048,1.0000
4551371989251,218.831,76.040,1.0000
4551390393314,218.863,76.047,1.0000
4551416972845,218.894,76.051,1.0000
4551439949356,218.918,76.070,1.0000
4551456257168,218.939,76.066,1.0000
4551471951647,218.965,76.073,1.0000
4551493931126,218.970,76.071,1.0000
4551519400658,218.947,76.064,1.0000
4551536996803,218.899,76.041,1.0000
4551555841335,218.808,76.014,1.0000
4551574465970,218.732,75.990,1.0000
4551595592585,218.640,75.962,1.0000
4551622120814,218.529,75.926,1.0000
4551636638887,218.447,75.891,1.0000
4551655369147,218.405,75.868,1.0000
4551666950605,218.362,75.846,1.0000
4551689149616,218.332,75.824,1.0000
4551720596960,218.324,75.843,1.0000
4551736887949,218.289,75.820,1.0000
4551752648574,218.260,75.799,1.0000
4551771547324,218.251,75.798,1.0000
4551790722428,218.235,75.786,1.0000
4551821301230,218.247,75.794,1.0000
4551844228626,218.245,75.811,1.0000
4551861093782,218.235,75.804,1.0000
4551885929460,218.204,75.785,1.0000
4551906855970,218.205,75.783,1.0000
4551942695605,218.193,75.770,1.0000
4551956218001,218.158,75.777,1.0000
4551975239303,218.107,75.760,1.0000
4551984512116,218.101,75.741,1.0000
4551999659720,218.084,75.733,1.0000
4552022708887,218.049,75.700,1.0000
4552033320918,218.034,75.697,1.0000
4552052876022,218.064,75.698,1.0000
4552075398001,218.107,75.709,1.0000
4552098104303,218.147,75.729,1.0000
4552121381543,218.137,75.724,1.0000
4552153122012,218.115,75.711,1.0000
4552159449043,218.141,75.717,1.0000
4552183740293,218.148,75.733,1.0000
4552200317064,218.176,75.746,1.0000
4552220537168,218.183,75.762,1.0000
4552239501022,218.201,75.773,1.0000
4552274516907,218.200,75.782,1.0000
4552279786126,218.252,75.797,1.0000
4552300713261,218.295,75.805,1.0000
4552319009095,218.320,75.827,1.0000
4552341171855,218.342,75.836,1.0000
4552379647272,218.362,75.834,1.0000
4552393553470,218.383,75.847,1.0000
4552411191074,218.364,75.846,1.0000
4552431033991,218.348,75.847,1.0000
4552455932168,218.339,75.846,1.0000
4552473743470,218.352,75.844,1.0000
4552497902011,218.358,75.849,1.0000
4552514699720,218.329,75.843,1.0000
4552523549668,218.332,75.841,1.0000
4552545217011,218.341,75.850,1.0000
4552566255970,218.315,75.847,1.0000
4552593524668,218.318,75.850,1.0000
4552618238313,218.354,75.851,1.0000
4552628190605,218.344,75.861,1.0000
4552645508105,218.346,75.853,1.0000
4552671193574,218.345,75.859,1.0000
4552687491803,218.371,75.869,1.0000
4552706553053,218.381,75.868,1.0000
4552734610397,218.385,75.867,1.0000
4552756223990,218.310,75.841,1.0000
4552774374772,218.192,75.792,1.0000
4552790579928,218.083,75.749,1.0000
4552814676282,217.980,75.711,1.0000
4552834746907,217.899,75.684,1.0000
4552850786282,217.831,75.666,1.0000
4552872380449,217.793,75.651,1.0000
4552906429199,217.772,75.634,1.0000
4552929108834,217.770,75.615,1.0000
4552933788574,217.732,75.603,1.0000
4552956973365,217.677,75.596,1.0000
4552972469876,217.603,75.568,1.0000
4552992178157,217.559,75.536,1.0000
4553014252688,217.562,75.537,1.0000
4553041105240,217.568,75.533,1.0000
4553068776178,217.553,75.535,1.0000
4553079785709,217.535,75.522,1.0000
4553103753157,217.484,75.523,1.0000
4553121346074,217.456,75.508,1.0000
4553149499615,217.450,75.504,1.0000
4553159129563,217.436,75.488,1.0000
4553180821542,217.393,75.478,1.0000
4553205047740,217.317,75.446,1.0000
4553212393261,217.272,75.420,1.0000
4553233847428,217.247,75.390,1.0000
4553256289407,217.220,75.371,1.0000
4553285429251,217.196,75.359,1.0000
4553294944928,217.221,75.359,1.0000
4553323726230,217.235,75.353,1.0000
4553339263261,217.243,75.369,1.0000
4553358455605,217.219,75.358,1.0000
4553375542480,217.201,75.347,1.0000
4553397748469,217.173,75.343,1.0000
4553427325501,217.159,75.339,1.0000
4553446620188,217.133,75.328,1.0000
4553469158678,217.130,75.332,1.0000
4553487403261,217.132,75.332,1.0000
4553508592896,217.093,75.318,1.0000
4553526530865,217.092,75.304,1.0000
4553547269094,217.082,75.303,1.0000
4553565959667,217.114,75.313,1.0000
4553588563365,217.123,75.318,1.0000
4553608079771,217.181,75.329,1.0000
4553624645240,217.218,75.341,1.0000
4553654325292,217.250,75.353,1.0000
4553663982584,217.266,75.371,1.0000
4553692471490,217.293,75.374,1.0000
4553707449980,217.290,75.380,1.0000
4553728599719,217.301,75.378,1.0000
4553746903626,217.293,75.364,1.0000
4553768084146,217.304,75.370,1.0000
4553784610761,217.289,75.360,1.0000
4553807367636,217.289,75.369,1.0000
4553830249355,217.318,75.375,1.0000
4553852509459,217.317,75.368,1.0000
4553874490553,217.353,75.362,1.0000
4553880078990,217.352,75.370,1.0000
4553902701230,217.365,75.370,1.0000
4553922133782,217.364,75.380,1.0000
4553961729928,217.311,75.365,1.0000
4553979081646,217.266,75.362,1.0000
4554016162792,217.172,75.326,1.0000
4554025514980,217.085,75.306,1.0000
4554038938105,216.974,75.278,1.0000
4554056210813,216.911,75.241,1.0000
4554074059875,216.867,75.224,1.0000
4554098512115,216.810,75.206,1.0000
4554116949355,216.757,75.181,1.0000
4554140882532,216.696,75.166,1.0000
4554161417688,216.650,75.142,1.0000
4554179414459,216.647,75.142,1.0000
4554199405032,216.619,75.145,1.0000
4554211237167,216.620,75.127,1.0000
4554228827271,216.640,75.138,1.0000
4554252660448,216.628,75.141,1.0000
4554271041959,216.636,75.138,1.0000
4554291809042,216.626,75.130,1.0000
4554310785865,216.582,75.114,1.0000
4554329567063,216.557,75.108,1.0000
4554352306021,216.554,75.090,1.0000
4554375733469,216.547,75.084,1.0000
4554405211021,216.558,75.078,1.0000
4554418098886,216.525,75.080,1.0000
4554429804198,216.510,75.073,1.0000
4554459485709,216.491,75.064,1.0000
4554488918104,216.506,75.056,1.0000
4554507506334,216.476,75.042,1.0000
4554528453990,216.463,75.038,1.0000
4554545150136,216.461,75.037,1.0000
4554568592896,216.454,75.049,1.0000
4554598415552,216.439,75.044,1.0000
4554612175188,216.408,75.037,1.0000
4554628464875,216.386,75.026,1.0000
4554646261750,216.387,75.037,1.0000
4554658673000,216.350,75.023,1.0000
4554678328677,216.381,75.023,1.0000
4554699362740,216.395,75.027,1.0000
4554718496281,216.397,75.019,1.0000
4554745489615,216.346,75.009,1.0000
4554768535761,216.337,75.009,1.0000
4554781674458,216.377,75.016,1.0000
4554803809927,216.398,75.019,1.0000
4554821671958,216.407,75.022,1.0000
4554841888938,216.392,75.018,1.0000
4554859662896,216.408,75.029,1.0000
4554883793938,216.366,75.024,1.0000
4554903663625,216.363,75.028,1.0000
4554924302635,216.348,75.016,1.0000
4554945722948,216.350,75.019,1.0000
4554974057740,216.360,75.021,1.0000
4554989425396,216.393,75.035,1.0000
4555017391281,216.415,75.044,1.0000
4555040520865,216.441,75.049,1.0000
4555069638625,216.425,75.053,1.0000
4555071901125,216.341,75.016,1.0000
4555094577479,216.239,74.986,1.0000
4555112347427,216.109,74.949,1.0000
4555126744510,216.021,74.906,1.0000
4555148446229,215.954,74.877,1.0000
4555166854979,215.905,74.857,1.0000
4555199490240,215.859,74.846,1.0000
4555210902740,215.823,74.835,1.0000
4555243073260,215.800,74.830,1.0000
4555252291333,215.767,74.825,1.0000
4555269890865,215.723,74.820,1.0000
4555288287427,215.695,74.814,1.0000
4555317269771,215.654,74.798,1.0000
4555332630344,215.641,74.801,1.0000
4555356663312,215.631,74.794,1.0000
4555372226489,215.607,74.782,1.0000
4555396538521,215.590,74.783,1.0000
4555411879875,215.585,74.786,1.0000
4555443527739,215.571,74.778,1.0000
4555454669250,215.568,74.771,1.0000
4555476727062,215.547,74.760,1.0000
4555495126489,215.534,74.771,1.0000
4555511152844,215.543,74.764,1.0000
4555540577635,215.519,74.749,1.0000
4555561414406,215.523,74.754,1.0000
4555581543104,215.511,74.755,1.0000
4555595176281,215.509,74.750,1.0000
4555620527219,215.523,74.763,1.0000
4555636681177,215.532,74.779,1.0000
4555662039406,215.499,74.770,1.0000
4555681188208,215.495,74.754,1.0000
4555696412739,215.513,74.777,1.0000
4555724514979,215.523,74.786,1.0000
4555745755604,215.545,74.782,1.0000
4555763450083,215.598,74.787,1.0000
4555781730552,215.627,74.798,1.0000
4555803960760,215.644,74.812,1.0000
4555820555864,215.643,74.820,1.0000
4555844248677,215.668,74.826,1.0000
4555868203208,215.705,74.849,1.0000
4555887399562,215.740,74.859,1.0000
4555898540031,215.785,74.878,1.0000
4555911543833,215.826,74.891,1.0000
4555935556646,215.857,74.893,1.0000
4555961814718,215.897,74.924,1.0000
4555978943885,215.907,74.948,1.0000
4556000976489,215.919,74.956,1.0000
4556022349614,215.923,74.957,1.0000
4556045816489,215.973,74.975,1.0000
4556067021698,215.990,74.987,1.0000
4556087539041,216.001,74.994,1.0000
4556112684718,216.054,74.999,1.0000
4556129459458,216.092,75.024,1.0000
4556151532895,216.109,75.030,1.0000
4556170677323,216.129,75.042,1.0000
4556193172583,216.130,75.045,1.0000
4556232806020,216.113,75.042,1.0000
4556244279614,216.055,75.020,1.0000
4556250639302,215.970,74.992,1.0000
4556271938416,215.898,74.969,1.0000
4556285396802,215.848,74.951,1.0000
4556303060656,215.799,74.934,1.0000
4556322761489,215.752,74.923,1.0000
4556341306489,215.728,74.911,1.0000
4556364767531,215.747,74.902,1.0000
4556385134197,215.736,74.895,1.0000
4556402747531,215.730,74.890,1.0000
4556425665395,215.733,74.897,1.0000
4556451721541,215.720,74.906,1.0000
4556470727062,215.739,74.912,1.0000
4556485066802,215.749,74.919,1.0000
4556505193104,215.750,74.906,1.0000
4556533539770,215.802,74.919,1.0000
4556547869197,215.818,74.937,1.0000
4556566643156,215.834,74.955,1.0000
4556598832531,215.863,74.960,1.0000
4556616477583,215.872,74.974,1.0000
4556636955551,215.882,74.977,1.0000
4556657866072,215.888,74.977,1.0000
4556681075708,215.876,74.962,1.0000
4556702956541,215.931,74.996,1.0000
4556720119197,215.934,74.995,1.0000
4556737366020,215.953,74.999,1.0000
4556762783989,215.986,74.996,1.0000
4556788515291,216.030,75.012,1.0000
4556800274718,216.089,75.025,1.0000
4556826915968,216.135,75.059,1.0000
4556841792583,216.198,75.082,1.0000
4556860136645,216.253,75.110,1.0000
4556880299406,216.320,75.134,1.0000
4556904264093,216.374,75.163,1.0000
4556920455708,216.395,75.166,1.0000
4556936558781,216.439,75.188,1.0000
4556962569145,216.504,75.205,1.0000
4556972350656,216.551,75.244,1.0000
4557002615447,216.578,75.245,1.0000
4557018062583,216.620,75.255,1.0000
4557033349614,216.657,75.272,1.0000
4557052680447,216.724,75.305,1.0000
4557078246593,216.760,75.319,1.0000
4557101123676,216.787,75.317,1.0000
4557125078780,216.849,75.346,1.0000
4557148986593,216.884,75.348,1.0000
4557166930760,216.953,75.373,1.0000
4557187381541,216.991,75.405,1.0000
4557213888416,217.022,75.420,1.0000
4557231652947,217.087,75.435,1.0000
4557249771489,217.117,75.459,1.0000
4557269455760,217.164,75.478,1.0000
4557290196489,217.234,75.500,1.0000
4557300763676,217.274,75.526,1.0000
4557332890812,217.325,75.537,1.0000
4557347547687,217.339,75.551,1.0000
4557366024197,217.383,75.561,1.0000
4557385295343,217.428,75.589,1.0000
4557400910655,217.460,75.624,1.0000
4557421934978,217.505,75.633,1.0000
4557444955551,217.532,75.645,1.0000
4557464184353,217.592,75.663,1.0000
4557484913832,217.649,75.676,1.0000
4557505884926,217.696,75.707,1.0000
4557530622114,217.711,75.719,1.0000
4557546124093,217.736,75.725,1.0000
4557565811124,217.737,75.728,1.0000
4557583252687,217.790,75.748,1.0000
4557605728572,217.843,75.758,1.0000
4557626573937,217.873,75.769,1.0000
4557655849562,217.842,75.761,1.0000
4557675467478,217.764,75.742,1.0000
4557701357843,217.724,75.724,1.0000
4557715574509,217.690,75.713,1.0000
4557739036697,217.651,75.711,1.0000
4557755857999,217.623,75.719,1.0000
4557776305291,217.596,75.714,1.0000
4557822736645,217.633,75.745,1.0000
4557837110916,217.657,75.777,1.0000
4557865969301,217.651,75.799,1.0000
4557881005551,217.613,75.801,1.0000
4557897442530,217.591,75.804,1.0000
4557911325082,217.561,75.816,1.0000
4557934788103,217.578,75.824,1.0000
4557951723416,217.587,75.817,1.0000
4557967633416,217.586,75.822,1.0000
4557987769457,217.592,75.834,1.0000
4558010329718,217.598,75.846,1.0000
4558046865238,217.634,75.848,1.0000
4558054110968,217.682,75.882,1.0000
4558073699718,217.706,75.913,1.0000
4558092254041,217.749,75.956,1.0000
4558109058311,217.747,75.972,1.0000
4558134843520,217.735,75.973,1.0000
4558152869301,217.770,75.982,1.0000
4558184633415,217.742,75.972,1.0000
4558215744822,217.727,75.971,1.0000
4558220537999,217.715,75.972,1.0000
4558246527895,217.740,75.974,1.0000
4558261583155,217.757,75.982,1.0000
4558286491124,217.762,75.972,1.0000
4558306084978,217.780,75.983,1.0000
4558321903676,217.792,75.992,1.0000
4558353595811,217.812,76.002,1.0000
4558365232738,217.846,76.001,1.0000
4558385559353,217.883,76.016,1.0000
4558414640967,217.907,76.032,1.0000
4558425179353,217.909,76.026,1.0000
4558443288103,217.914,76.030,1.0000
4558464343832,217.950,76.046,1.0000
4558483677947,217.988,76.074,1.0000
4558507362217,218.022,76.089,1.0000
4558535404145,218.030,76.092,1.0000
4558539747322,218.044,76.084,1.0000
4558561521176,218.068,76.085,1.0000
4558576478311,218.090,76.095,1.0000
4558603288103,218.116,76.096,1.0000
4558619834822,218.120,76.113,1.0000
4558642233259,218.148,76.104,1.0000
4558659671749,218.210,76.119,1.0000
4558686877478,218.259,76.150,1.0000
4558730529457,218.275,76.147,1.0000
4558736260603,218.279,76.169,1.0000
4558747576540,218.295,76.164,1.0000
4558772181592,218.332,76.163,1.0000
4558794337426,218.355,76.154,1.0000
4558811160863,218.337,76.137,1.0000
4558834982426,218.369,76.156,1.0000
4558872360915,218.434,76.156,1.0000
4558889950082,218.431,76.166,1.0000
4558908770915,218.451,76.176,1.0000
4558934305551,218.435,76.172,1.0000
4558954732999,218.429,76.161,1.0000
4558983121124,218.402,76.152,1.0000
4558992229717,218.340,76.136,1.0000
4559011853936,218.236,76.113,1.0000
4559039840082,218.178,76.086,1.0000
4559054143467,218.132,76.063,1.0000
4559074488259,218.091,76.042,1.0000
4559094557634,218.104,76.042,1.0000
4559110229509,218.097,76.045,1.0000
4559136168415,218.100,76.038,1.0000
4559149189405,218.107,76.051,1.0000
4559167578051,218.092,76.048,1.0000
4559191556696,218.073,76.045,1.0000
4559212219613,218.066,76.039,1.0000
4559256383311,218.070,76.044,1.0000
4559260082165,218.077,76.038,1.0000
4559275641592,218.080,76.043,1.0000
4559298424925,218.092,76.049,1.0000
4559319707009,218.147,76.058,1.0000
4559340685238,218.140,76.058,1.0000
4559357201540,218.141,76.063,1.0000
4559401514248,218.142,76.073,1.0000
4559440951800,218.082,76.068,1.0000
4559468149092,218.072,76.073,1.0000
4559477953311,218.122,76.082,1.0000
